Vin,Vd (V),Vr (V),Id (mA) (supply),Ir (A) (experimental),,,,,Vin (rev),Vr (mV) (rev),Id (mA) (supply) (rev)
0,0.0022,0.00005,,5.11896474057087E-08,,,,,0,0.031,3.18602261048304E-11
0.1,0.103,0.000067,,6.85941275236496E-08,,,,,0.2,0.507,5.21068859198356E-10
0.2,0.202,0.000133,,1.36164462099185E-07,,,,,0.4,0.583,5.9917780061665E-10
0.3,0.301,0.00103,,1.0545067365576E-06,,,,,0.6,0.651,6.69064748201439E-10
0.4,0.39,0.0124,,1.26950325566158E-05,,,,,0.8,0.662,6.80369989722508E-10
0.5,0.446,0.055,,5.63086121462795E-05,,,,,1,0.694,7.13257965056526E-10
0.6,0.479,0.123,,0.000125926532618043,,,,,1.2,0.713,7.327852004111E-10
0.7,0.501,0.201,,0.000205782382570949,,,,,1.4,0.741,7.61562178828366E-10
0.8,0.517,0.285,,0.000291780990212539,,,,,1.6,0.783,8.04727646454265E-10
0.9,0.37,0.531,0,0.000543634055448626,,,,,1.8,0.784,8.05755395683453E-10
1,0.542,0.46,1,0.00047094475613252,,,,,2,0.804,8.26310380267215E-10
1.1,0.55,0.551,1,0.00056410991441091,,,,,2.5,0.856,8.79753340184995E-10
1.2,0.558,0.644,1,0.000659322658585528,,,,,3,0.871,8.95169578622816E-10
1.3,0.565,0.737,1,0.000754535402760146,,,,,3.5,0.912,9.37307297019527E-10
1.4,0.571,0.831,1,0.000850771939882878,,,,,4,0.934,9.59917780061665E-10
1.5,0.576,0.926,1,0.000948032269953725,,,,,4.5,0.98,1.00719424460432E-09
1.6,0.58,1.021,1,0.00104529260002457,,,,,5,0.947,9.7327852004111E-10
1.7,0.585,1.117,1,0.00114357672304353,,,,,5.5,0.98,1.00719424460432E-09
1.8,0.589,1.213,1,0.00124186084606249,,,,,6,1.03,1.05858170606372E-09
1.9,0.593,1.309,1,0.00134014496908145,,,,,6.5,1.05,1.07913669064748E-09
2,0.596,1.405,2,0.00143842909210041,,,,,7,1.07,1.09969167523124E-09
2.1,0.6,1.502,2,0.00153773700806749,,,,,7.5,1.075,1.10483042137718E-09
2.2,0.602,1.6,2,0.00163806871698268,,,,,8,1.104,1.13463514902364E-09
2.3,0.605,1.696,2,0.00173635284000164,,,,,8.5,1.125,1.15621788283659E-09
2.4,0.608,1.793,2,0.00183566075596871,,,,,9,1.132,1.1634121274409E-09
2.5,0.61,1.891,2,0.0019359924648839,,,,,9.5,1.146,1.17780061664954E-09
2.6,0.612,1.988,2,0.00203530038085098,,,,,10,1.172,1.20452209660843E-09
2.7,0.615,2.086,2,0.00213563208976617,,,,,10.5,1.184,1.21685508735868E-09
2.8,0.617,2.184,2,0.00223596379868135,,,,,11,1.194,1.22713257965057E-09
2.9,0.619,2.282,2,0.00233629550759654,,,,,11.5,1.21,1.24357656731757E-09
3,0.621,2.379,3,0.00243560342356362,,,,,12,1.213,1.24665981500514E-09
3.2,0.625,2.575,3,0.002636266841394,,,,,12.5,1.23,1.26413155190134E-09
3.4,0.628,2.772,3,0.00283795405217249,,,,,13,1.234,1.26824254881809E-09
3.6,0.632,2.968,3,0.00303861747000287,,,,,13.5,1.246,1.28057553956835E-09
3.8,0.635,3.165,3,0.00324030468078136,,,,,14,1.261,1.29599177800617E-09
4,0.638,3.362,4,0.00344199189155985,,,,,14.5,1.265,1.30010277492292E-09
4.2,0.64,3.559,4,0.00364367910233834,,,,,15,1.273,1.30832476875642E-09
4.4,0.643,3.756,4,0.00384536631311684,,,,,15.5,1.293,1.32887975334018E-09
4.6,0.645,3.954,4,0.00404807731684344,,,,,16,1.312,1.34840698869476E-09
4.8,0.648,4.151,4,0.00424976452762193,,,,,,,
5,0.65,4.349,5,0.00445247553134854,,,,,,,
5.2,0.652,4.546,5,0.00465416274212703,,,,,,,
5.4,0.654,4.744,5,0.00485687374585364,,,,,,,
5.6,0.656,4.942,5,0.00505958474958025,,,,,,,
5.8,0.658,5.14,5,0.00526229575330685,,,,,,,
6,0.659,5.338,6,0.00546500675703346,,,,,,,
6.2,0.661,5.536,6,0.00566771776076006,,,,,,,
6.4,0.663,5.734,6,0.00587042876448667,,,,,,,
6.6,0.664,5.932,6,0.00607313976821328,,,,,,,
6.8,0.666,6.13,6,0.00627585077193988,,,,,,,
7,0.667,6.328,7,0.00647856177566649,,,,,,,
7.2,0.669,6.528,7,0.00668332036528932,,,,,,,
7.4,0.67,6.725,7,0.00688500757606782,,,,,,,
7.6,0.672,6.924,7,0.00708874237274254,,,,,,,
7.8,0.673,7.122,7,0.00729145337646914,,,,,,,
8,0.674,7.321,8,0.00749518817314386,,,,,,,
8.2,0.675,7.521,8,0.0076999467627667,,,,,,,
