V PSU,Vz,Vr,,Vs,Vo,,RL,Vo_part4
10.43,6.285,4.003,,9.92,6.127,,260,6.127
10.3,6.281,3.884,,10,6.13,,300,6.152
10.1,6.273,3.696,,10.5,6.139,,500,6.176
9.9,6.268,3.51,,11,6.145,,1000,6.202
9.7,6.262,3.32,,11.5,6.153,,1500,6.211
9.5,6.25,3.14,,12,6.164,,2000,6.215
9.3,6.244,2.951,,12.5,6.168,,2500,6.221
9.1,6.238,2.766,,13,6.172,,3000,6.223
8.8,6.229,2.484,,13.5,6.177,,3500,6.225
8.6,6.223,2.298,,14,6.182,,4000,6.226
8.4,6.213,2.114,,14.5,6.186,,4500,6.229
8.2,6.209,1.926,,15,6.191,,5000,6.23
8,6.203,1.739,,15.5,6.196,,5500,6.229
7.8,6.196,1.552,,,,,6000,6.229
7.6,6.19,1.365,,,,,6500,6.23
7.4,6.183,1.179,,,,,7000,6.229
7.2,6.175,0.993,,,,,7500,6.23
7,6.166,0.808,,,,,8000,6.23
6.8,6.154,0.626,,,,,8500,6.23
6.6,6.144,0.443,,,,,9000,6.231
6.4,6.127,0.265,,,,,9500,6.23
6.2,6.093,0.105,,,,,10000,6.23
6,5.986,0.015,,,,,10500,6.229
5.8,5.796,0.005,,,,,11000,6.227
5.6,5.6,0.002,,,,,11500,6.226
5.4,5.401,0.001,,,,,12000,6.228
5,5.001,0.0003,,,,,12500,6.229
4.5,4.502,0.0001,,,,,13000,6.231
4,4.002,0.00005,,,,,13500,6.231
3.5,3.502,0.000035,,,,,14000,6.233
3,3.002,0.000028,,,,,14500,6.234
2.5,2.503,0.000023,,,,,15000,6.233
2,2.002,0.000018,,,,,,
1.5,1.503,0.000012,,,,,,
1,1.002,0.000008,,,,,,
0.5,0.502,0.000004,,,,,,
0,0.002,0,,,,,,
