Keithley (V),Keithley (A),Agilent Multimeter (V)
0.000011,-21.969350E-12,-0.000015
0.499942,-54.004590E-12,-0.000014
1.000000,-64.751080E-12,-0.000017
1.500024,-76.815550E-12,-0.000017
1.999970,-133.589400E-12,-0.000020
2.499321,28.110210E-12,-0.000015
2.999724,9.305043E-12,-0.000015
3.500114,-49.695870E-12,-0.000019
4.000812,-77.322450E-12,-0.000011
4.499942,-57.046060E-12,-0.000014
4.999352,-39.000450E-12,-0.000016
5.499225,-60.391660E-12,-0.000017
5.999683,-20.955590E-12,-0.000012
6.500445,-43.714420E-12,-0.000013
7.000143,-73.926140E-12,-0.000014
7.499536,-30.991780E-12,-0.000013
7.998964,-39.405950E-12,-0.000013
8.499346,6.162383E-12,-0.000011
9.000150,-42.193780E-12,-0.000013
9.500724,-30.535590E-12,-0.000018
9.999912,-70.124320E-12,-0.000014
10.499370,-24.453060E-12,-0.000018
10.999200,-27.443640E-12,-0.000013
11.499960,-39.811460E-12,-0.000018
12.000770,-9.652248E-12,-0.000004
12.500170,-64.751070E-12,-0.000008
12.999570,-18.573280E-12,-0.000015
13.498730,-102.515800E-12,-0.000014
13.999470,-17.812960E-12,-0.000017
14.500160,-20.702170E-12,-0.000012
15.000080,-31.954860E-12,-0.000011
15.499350,-31.650730E-12,-0.000016
15.998330,-35.959190E-12,-0.000018
