Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V)
1.247747,0.000000,0.000000,-8.594631E-6,-0.000017
1.248809,0.000000,0.499965,664.104100E-6,-0.000017
1.248832,0.000000,1.000027,666.685500E-6,-0.000016
1.248832,0.000000,1.500053,668.449900E-6,-0.000013
1.248855,0.000000,2.000006,670.086000E-6,-0.000016
1.248855,0.000000,2.499572,671.667700E-6,-0.000014
1.248832,0.000000,2.999973,673.244600E-6,-0.000016
1.248787,0.000000,3.500361,674.679200E-6,-0.000013
1.248877,0.000000,4.001061,676.002900E-6,-0.000009
1.248809,0.000000,4.500247,677.562700E-6,-0.000015
1.248787,0.000000,4.999602,678.555700E-6,-0.000014
1.248742,0.000000,5.499496,679.432500E-6,-0.000015
1.248832,0.000000,5.999978,680.310200E-6,-0.000014
1.248832,0.000000,6.500754,681.416200E-6,-0.000017
1.248855,0.000000,7.000455,682.822200E-6,-0.000019
1.248809,0.000000,7.499852,684.208100E-6,-0.000015
1.248990,0.000000,7.999283,685.320800E-6,-0.000021
1.248990,0.000000,8.499649,686.466500E-6,-0.000015
1.248990,0.000000,9.000459,687.627600E-6,-0.000013
1.248968,0.000000,9.501038,689.214000E-6,-0.000013
1.248809,0.000000,10.000230,690.506200E-6,-0.000015
1.248900,0.000000,10.499680,691.651800E-6,-0.000018
1.248764,0.000000,10.999510,692.703600E-6,-0.000014
1.248945,0.000000,11.500290,694.126900E-6,-0.000020
1.248945,0.000000,12.001100,695.260200E-6,-0.000017
1.248945,0.000000,12.500480,696.467600E-6,-0.000014
1.248900,0.000000,12.999880,697.779000E-6,-0.000014
1.248990,0.000000,13.499040,699.003600E-6,-0.000015
1.248968,0.000000,13.999820,700.301500E-6,-0.000013
1.248809,0.000000,14.500520,701.665800E-6,-0.000012
1.249035,0.000000,15.000420,702.908700E-6,-0.000012
1.248855,0.000000,15.499720,704.104700E-6,-0.000012
1.249081,0.000000,15.998690,705.449200E-6,-0.000013
1.928785,0.000000,0.000006,-17.381960E-6,-0.000012
1.929056,0.000000,0.499957,1.559539E-3,-0.000017
1.929056,0.000000,1.000024,1.564038E-3,-0.000013
1.929011,0.000000,1.500051,1.567725E-3,-0.000014
1.929056,0.000000,2.000000,1.571202E-3,-0.000011
1.929056,0.000000,2.499524,1.574293E-3,-0.000013
1.928898,0.000000,2.999952,1.577544E-3,-0.000015
1.928763,0.000000,3.500340,1.580640E-3,-0.000011
1.928898,0.000000,4.001042,1.583882E-3,-0.000013
1.928717,0.000000,4.500197,1.587302E-3,-0.000011
1.928605,0.000000,4.999607,1.590526E-3,-0.000014
1.928672,0.000000,5.499470,1.593829E-3,-0.000010
1.928763,0.000000,5.999957,1.597187E-3,-0.000014
1.928672,0.000000,6.500725,1.600140E-3,-0.000019
1.928717,0.000000,7.000424,1.603625E-3,-0.000009
1.928853,0.000000,7.499839,1.606504E-3,-0.000017
1.928717,0.000000,7.999243,1.609959E-3,-0.000014
1.928853,0.000000,8.499618,1.613458E-3,-0.000016
1.928627,0.000000,9.000450,1.616939E-3,-0.000012
1.928672,0.000000,9.501027,1.620551E-3,-0.000012
1.928853,0.000000,10.000190,1.624272E-3,-0.000010
1.928717,0.000000,10.499650,1.628433E-3,-0.000014
1.928672,0.000000,10.999510,1.632556E-3,-0.000014
1.928898,0.000000,11.500260,1.636559E-3,-0.000010
1.928808,0.000000,12.001090,1.640685E-3,-0.000014
1.928763,0.000000,12.500470,1.644744E-3,-0.000014
1.928650,0.000000,12.999880,1.648929E-3,-0.000011
1.928650,0.000000,13.499060,1.653081E-3,-0.000012
1.928785,0.000000,13.999820,1.656778E-3,-0.000009
1.928717,0.000000,14.500520,1.660755E-3,-0.000015
1.928808,0.000000,15.000430,1.665290E-3,-0.000013
1.928605,0.000000,15.499730,1.669777E-3,-0.000014
1.928650,0.000000,15.998700,1.674147E-3,-0.000014
2.608578,0.000000,0.000006,-26.439850E-6,-0.000014
2.608759,0.000000,0.499967,2.537260E-3,-0.000010
2.608804,0.000000,1.000035,2.543057E-3,-0.000013
2.608759,0.000000,1.500062,2.547309E-3,-0.000013
2.608895,0.000000,2.000017,2.551856E-3,-0.000014
2.608714,0.000000,2.499644,2.554576E-3,-0.000013
2.608759,0.000000,3.000026,2.558712E-3,-0.000016
2.608714,0.000000,3.500433,2.562271E-3,-0.000011
