Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.678865,0.000000,-0.000079,-32.014100E-12,-0.103152,-0.131972
1.680126,0.000000,0.499918,-507.961700E-15,-0.103706,-0.132204
1.680058,0.000000,0.999961,-4.166723E-12,-0.103642,-0.132433
1.680351,0.000000,1.499965,-37.197340E-12,-0.103168,-0.132665
1.680261,0.000000,1.999892,113.066600E-12,-0.103005,-0.132893
1.680103,0.000000,2.499993,-366.816000E-12,-0.103011,-0.133122
1.680261,0.000000,3.000179,93.400680E-12,-0.102793,-0.133351
1.680035,0.000000,3.500583,41.110630E-12,-0.102441,-0.133580
1.680171,0.000000,4.001022,125.110200E-12,-0.102131,-0.133806
1.680171,0.000000,4.500741,-82.576560E-12,-0.101919,-0.134028
1.680216,0.000000,5.000027,-128.670800E-12,-0.101789,-0.134254
1.680081,0.000000,5.499729,40.907390E-12,-0.101415,-0.134473
1.680216,0.000000,6.000217,292.194200E-12,-0.101160,-0.134696
