Keithley (V),Keithley (A)
-0.000008,-54.430550E-12
0.499948,-69.217050E-12
0.999978,-45.284700E-12
1.499962,-101.992000E-12
1.999885,-180.245200E-12
2.499508,36.520050E-12
2.999503,-52.245710E-12
3.500084,-48.943040E-12
4.000656,19.650830E-12
4.499876,-98.689110E-12
4.999393,89.769030E-12
5.499242,94.290840E-12
5.999552,-22.623310E-12
6.500161,-104.735900E-12
7.000166,48.917520E-12
7.499373,-90.457230E-12
7.998924,-65.710900E-12
8.499471,-79.125730E-12
8.999805,78.692290E-12
9.500303,4.458538E-12
9.999949,199.112600E-12
10.499190,-136.494600E-12
10.999300,229.852900E-12
11.499550,101.150400E-12
12.000230,145.558500E-12
12.500060,-229.585400E-12
12.999160,55.319570E-12
13.498630,10.708180E-12
13.999220,24.630210E-12
14.499470,41.245170E-12
14.999730,77.523810E-12
15.499080,30.981450E-12
15.998040,562.761200E-12
