Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Fluke Multimeter (V)
1.670064,0.000000,-0.000009,16.395530E-6,-0.218650
1.670970,0.000000,0.499951,11.654930E-6,-0.218860
1.670947,0.000000,0.999981,10.356900E-6,-0.219060
1.670947,0.000000,1.499978,9.499050E-6,-0.219270
1.670993,0.000000,1.999903,8.894201E-6,-0.219480
1.670993,0.000000,2.499665,8.357604E-6,-0.219680
1.670970,0.000000,2.999632,7.859155E-6,-0.219890
1.670925,0.000000,3.500206,7.460057E-6,-0.220090
1.670947,0.000000,4.000784,7.161402E-6,-0.220290
1.671015,0.000000,4.499994,6.937397E-6,-0.220500
1.671015,0.000000,4.999528,6.732025E-6,-0.220710
1.670925,0.000000,5.499394,6.543809E-6,-0.220920
1.670970,0.000000,5.999678,6.408921E-6,-0.221130
1.671015,0.000000,6.500272,6.394286E-6,-0.221340
1.670970,0.000000,7.000290,6.260944E-6,-0.221540
1.670970,0.000000,7.499523,6.138588E-6,-0.221750
1.670925,0.000000,7.999078,5.964736E-6,-0.221960
1.670970,0.000000,8.499604,5.847514E-6,-0.222170
1.670925,0.000000,8.999926,5.736083E-6,-0.222380
1.670630,0.000000,9.500419,5.631966E-6,-0.222590
1.670789,0.000000,10.000050,5.495522E-6,-0.222790
1.670789,0.000000,10.499310,5.360013E-6,-0.223000
1.670789,0.000000,10.999410,5.234570E-6,-0.223210
1.670766,0.000000,11.499660,5.157071E-6,-0.223410
1.670698,0.000000,12.000330,5.077023E-6,-0.223650
1.670834,0.000000,12.500130,5.050340E-6,-0.223860
1.670698,0.000000,12.999240,4.917103E-6,-0.224060
1.670608,0.000000,13.498730,4.805681E-6,-0.224270
1.670676,0.000000,13.999300,4.694346E-6,-0.224480
1.670698,0.000000,14.499570,4.583418E-6,-0.224680
1.670630,0.000000,14.999830,4.487188E-6,-0.224890
1.670744,0.000000,15.499170,4.390604E-6,-0.225100
1.670608,0.000000,15.998130,4.324538E-6,-0.225310
2.670255,0.000000,-0.000005,22.323310E-6,-0.225570
2.670437,0.000000,0.499953,19.647830E-6,-0.225790
2.670369,0.000000,0.999980,18.189080E-6,-0.226010
2.670414,0.000000,1.499967,17.020550E-6,-0.226210
2.670391,0.000000,1.999890,16.158820E-6,-0.226420
2.670437,0.000000,2.499569,16.641580E-6,-0.226630
2.670346,0.000000,2.999547,17.206830E-6,-0.226840
2.670346,0.000000,3.500124,16.926760E-6,-0.227050
2.670369,0.000000,4.000694,16.601220E-6,-0.227260
2.670437,0.000000,4.499920,15.785560E-6,-0.227470
2.670437,0.000000,4.999451,15.367540E-6,-0.227680
2.670346,0.000000,5.499325,14.780580E-6,-0.227890
2.670437,0.000000,5.999615,14.410130E-6,-0.228090
2.670437,0.000000,6.500220,14.306650E-6,-0.228300
2.670391,0.000000,7.000216,13.901300E-6,-0.228510
2.670391,0.000000,7.499449,13.572080E-6,-0.228730
2.670414,0.000000,7.999005,14.095350E-6,-0.228940
2.670437,0.000000,8.499538,14.058880E-6,-0.229150
2.670505,0.000000,8.999871,14.143700E-6,-0.229350
2.670414,0.000000,9.500347,13.953190E-6,-0.229560
2.670346,0.000000,9.999993,13.945370E-6,-0.229770
2.670391,0.000000,10.499260,15.509480E-6,-0.229980
2.670459,0.000000,10.999340,13.484250E-6,-0.230190
2.670346,0.000000,11.499600,15.177270E-6,-0.230400
2.670482,0.000000,12.000270,11.798900E-6,-0.230610
2.670482,0.000000,12.500080,12.108010E-6,-0.230820
2.670391,0.000000,12.999200,12.454340E-6,-0.231020
2.670346,0.000000,13.498690,11.516610E-6,-0.231230
2.670346,0.000000,13.999270,12.198100E-6,-0.231440
2.670391,0.000000,14.499510,11.459870E-6,-0.231650
2.670437,0.000000,14.999760,13.334590E-6,-0.231860
2.670527,0.000000,15.499090,13.821520E-6,-0.232070
2.670482,0.000000,15.998080,10.574260E-6,-0.232280
3.670080,0.000000,-0.000005,29.668030E-6,-0.232530
3.670261,0.000000,0.499953,25.229760E-6,-0.232740
3.670216,0.000000,0.999982,26.137540E-6,-0.232950
3.670261,0.000000,1.499963,20.429220E-6,-0.233170
3.670261,0.000000,1.999884,20.248850E-6,-0.233380
3.670261,0.000000,2.499576,20.376990E-6,-0.233590
3.670216,0.000000,2.999548,19.997740E-6,-0.233800
3.670216,0.000000,3.500146,19.633880E-6,-0.234000
3.670261,0.000000,4.000688,19.340120E-6,-0.234210
3.670216,0.000000,4.499971,18.853750E-6,-0.234420
