Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.669430,0.000000,-0.000007,2.266999E-6,0.002373,-0.117063
1.670427,0.000000,0.499953,2.191645E-6,0.002326,-0.117413
1.670404,0.000000,0.999983,2.183212E-6,0.002315,-0.117764
1.670427,0.000000,1.499965,2.182032E-6,0.002308,-0.118119
1.670517,0.000000,1.999890,2.184221E-6,0.002306,-0.118473
1.670472,0.000000,2.499595,2.186378E-6,0.002301,-0.118824
1.670427,0.000000,2.999603,2.193037E-6,0.002300,-0.119174
1.670495,0.000000,3.500161,2.203547E-6,0.002299,-0.119530
1.670427,0.000000,4.000713,2.220720E-6,0.002297,-0.119881
1.670404,0.000000,4.499940,2.244610E-6,0.001193,-0.120231
