Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.679248,0.001000,-0.000076,1.051914E-3,-1.148750,-0.066658
1.680081,0.001000,0.499922,1.052049E-3,-1.147974,-0.066877
1.680171,0.001000,0.999965,1.052212E-3,-1.147824,-0.067094
1.680126,0.001000,1.499969,1.052420E-3,-1.147884,-0.067311
1.680035,0.001000,1.999895,1.052622E-3,-1.147621,-0.067524
1.680126,0.001000,2.500003,1.052805E-3,-1.148337,-0.067735
1.680035,0.001000,3.000202,1.053027E-3,-1.148295,-0.067950
1.680216,0.001000,3.500603,1.053259E-3,-1.148563,-0.068162
1.680171,0.001000,4.001033,1.053437E-3,-1.148847,-0.068372
1.680126,0.001000,4.500743,1.053592E-3,-1.148943,-0.068579
1.680216,0.001000,5.000049,1.053893E-3,-1.149171,-0.068797
1.679945,0.001000,5.499761,1.054218E-3,-1.149364,-0.069013
1.679900,0.001000,6.000257,1.054528E-3,-1.149669,-0.069229
1.679991,0.001000,6.500682,1.054787E-3,-1.149915,-0.069443
1.680035,0.001000,7.000840,1.055059E-3,-1.150201,-0.069660
1.679945,0.001000,7.500149,1.055358E-3,-1.150468,-0.069875
1.679945,0.001000,7.999500,1.055628E-3,-1.150705,-0.070089
1.679900,0.001000,8.499873,1.055911E-3,-1.150984,-0.070301
1.680081,0.001000,9.000339,1.056347E-3,-1.151317,-0.070510
1.680035,0.001000,9.500999,1.056764E-3,-1.151647,-0.070720
1.679945,0.001000,10.000400,1.057164E-3,-1.152006,-0.070931
1.679900,0.001000,10.499710,1.057621E-3,-1.152352,-0.071138
1.679945,0.001000,10.999580,1.057920E-3,-1.152618,-0.071348
1.680216,0.001000,11.500060,1.058365E-3,-1.152956,-0.071556
1.679945,0.001000,12.000570,1.058747E-3,-1.153294,-0.071763
1.680035,0.001000,12.500530,1.059131E-3,-1.153606,-0.071966
1.679945,0.001000,12.999750,1.059489E-3,-1.153946,-0.072172
1.680171,0.001000,13.499020,1.060000E-3,-1.154317,-0.072401
1.679968,0.001000,13.999530,1.060451E-3,-1.154747,-0.072595
1.679991,0.001000,14.499950,1.060928E-3,-1.155159,-0.072791
1.680081,0.001000,15.000380,1.061277E-3,-1.155490,-0.072985
1.680081,0.001000,15.499600,1.061816E-3,-1.155857,-0.073177
1.679991,0.001000,15.998750,1.062314E-3,-1.156257,-0.073369
2.679413,0.002000,-0.000076,2.052638E-3,-2.124228,-0.073721
2.679503,0.002000,0.499922,2.052139E-3,-2.122784,-0.073949
2.679458,0.002000,0.999965,2.051965E-3,-2.122139,-0.074175
2.679570,0.002000,1.499968,2.051884E-3,-2.121726,-0.074397
2.679548,0.002000,1.999897,2.051983E-3,-2.121564,-0.074613
2.679481,0.002000,2.500027,2.052185E-3,-2.121487,-0.074829
2.679548,0.002000,3.000211,2.052367E-3,-2.121437,-0.075050
2.679570,0.002000,3.500629,2.052578E-3,-2.121524,-0.075272
2.679525,0.002000,4.001059,2.052924E-3,-2.121732,-0.075490
2.679661,0.002000,4.500748,2.053414E-3,-2.122059,-0.075706
2.679683,0.002000,5.000051,2.053835E-3,-2.122294,-0.075929
2.679661,0.002000,5.499778,2.054294E-3,-2.122607,-0.076146
2.679570,0.002000,6.000259,2.054775E-3,-2.123013,-0.076361
2.679661,0.002000,6.500689,2.055284E-3,-2.123325,-0.076577
2.679683,0.002000,7.000854,2.055884E-3,-2.123755,-0.076791
2.679638,0.002000,7.500153,2.056454E-3,-2.124232,-0.077006
2.679548,0.002000,7.999497,2.057194E-3,-2.124685,-0.077221
2.679548,0.002000,8.499883,2.057765E-3,-2.125123,-0.077435
2.679683,0.002000,9.000355,2.058270E-3,-2.125499,-0.077644
2.679638,0.002000,9.501023,2.058806E-3,-2.125907,-0.077857
2.679683,0.002000,10.000420,2.059372E-3,-2.126311,-0.078066
2.679593,0.002000,10.499740,2.060089E-3,-2.126877,-0.078275
2.679570,0.002000,10.999610,2.060792E-3,-2.127429,-0.078486
2.679548,0.002000,11.500070,2.061392E-3,-2.127944,-0.078707
2.679683,0.002000,12.000570,2.062140E-3,-2.128660,-0.078923
2.679683,0.002000,12.500530,2.062903E-3,-2.129296,-0.079123
2.679503,0.002000,12.999680,2.063919E-3,-2.130195,-0.079319
2.679548,0.002000,13.498810,2.065175E-3,-2.131263,-0.079518
2.679683,0.002000,13.999120,2.066680E-3,-2.132686,-0.079712
2.679773,0.002000,14.499370,2.068174E-3,-2.133992,-0.079908
2.679525,0.002000,14.999640,2.069541E-3,-2.135271,-0.080104
2.679728,0.002000,15.498710,2.070870E-3,-2.136422,-0.080296
2.679593,0.002000,15.997740,2.072074E-3,-2.137491,-0.080490
3.678989,0.003000,-0.000073,3.063035E-3,-3.105113,-0.080840
3.679101,0.003000,0.499924,3.061667E-3,-3.102910,-0.081068
3.679192,0.003000,0.999968,3.060947E-3,-3.101693,-0.081300
3.679101,0.003000,1.499973,3.060387E-3,-3.100706,-0.081527
3.679057,0.003000,1.999899,3.059989E-3,-3.100073,-0.081752
3.679079,0.003000,2.500042,3.059891E-3,-3.099680,-0.081978
3.679012,0.003000,3.000231,3.059933E-3,-3.099448,-0.082204
3.679057,0.003000,3.500633,3.060021E-3,-3.099372,-0.082428
3.678921,0.003000,4.001066,3.060280E-3,-3.099432,-0.082647
3.679012,0.003000,4.500773,3.060610E-3,-3.099574,-0.082868
3.678989,0.003000,5.000059,3.061109E-3,-3.099867,-0.083085
3.679057,0.003000,5.499788,3.061754E-3,-3.100275,-0.083303
3.679012,0.003000,6.000273,3.062476E-3,-3.100772,-0.083523
3.679034,0.003000,6.500730,3.063135E-3,-3.101251,-0.083739
3.679034,0.003000,7.000877,3.063869E-3,-3.101824,-0.083953
3.679057,0.003000,7.500180,3.064749E-3,-3.102558,-0.084169
3.678967,0.003000,7.999514,3.065733E-3,-3.103319,-0.084380
3.679012,0.003000,8.499905,3.066613E-3,-3.103916,-0.084593
3.679034,0.003000,9.000370,3.067359E-3,-3.104640,-0.084805
3.679079,0.003000,9.501040,3.068346E-3,-3.105412,-0.085045
3.678921,0.003000,10.000430,3.069364E-3,-3.106213,-0.085248
3.679012,0.003000,10.499740,3.070328E-3,-3.107058,-0.085450
3.679101,0.003000,10.999610,3.071438E-3,-3.107945,-0.085650
3.679147,0.003000,11.500080,3.072687E-3,-3.108925,-0.085850
3.679012,0.003000,12.000610,3.073809E-3,-3.109919,-0.086048
3.679124,0.003000,12.500580,3.075029E-3,-3.110957,-0.086248
3.679012,0.003000,12.999810,3.076020E-3,-3.111844,-0.086444
3.679192,0.003000,13.499050,3.077128E-3,-3.112591,-0.086641
3.679192,0.003000,13.999580,3.078168E-3,-3.113723,-0.086836
3.679057,0.003000,14.500000,3.079339E-3,-3.114737,-0.087033
3.679147,0.003000,15.000430,3.080403E-3,-3.115534,-0.087227
3.679034,0.003000,15.499620,3.081407E-3,-3.116606,-0.087425
3.679101,0.003000,15.998770,3.082706E-3,-3.117306,-0.087624
4.678201,0.004000,-0.000072,4.076987E-3,-4.088050,-0.087986
4.678471,0.004000,0.499925,4.074983E-3,-4.085330,-0.088225
4.678561,0.004000,0.999969,4.074278E-3,-4.083801,-0.088456
4.678471,0.004000,1.499976,4.073715E-3,-4.082753,-0.088686
4.678268,0.004000,1.999900,4.073256E-3,-4.081958,-0.088913
4.678403,0.004000,2.500060,4.072992E-3,-4.080992,-0.089138
4.678313,0.004000,3.000243,4.072943E-3,-4.080727,-0.089360
4.678313,0.004000,3.500654,4.073019E-3,-4.080528,-0.089582
4.678584,0.004000,4.001082,4.073250E-3,-4.080606,-0.089807
4.678471,0.004000,4.500800,4.073469E-3,-4.080656,-0.090027
4.678449,0.004000,5.000087,4.074083E-3,-4.080904,-0.090250
4.678403,0.004000,5.499803,4.074357E-3,-4.081170,-0.090468
4.678493,0.004000,6.000287,4.074923E-3,-4.081546,-0.090682
