v2,V(vgs),Id(J1)
-6.000000000000000e+000,-6.000000e+000,1.601000e-011
-5.990000000000000e+000,-5.990000e+000,1.600000e-011
-5.980000000000000e+000,-5.980000e+000,1.599000e-011
-5.970000000000001e+000,-5.970000e+000,1.598000e-011
-5.960000000000001e+000,-5.960000e+000,1.597000e-011
-5.950000000000001e+000,-5.950000e+000,1.596000e-011
-5.940000000000001e+000,-5.940000e+000,1.595000e-011
-5.930000000000002e+000,-5.930000e+000,1.594000e-011
-5.920000000000002e+000,-5.920000e+000,1.593000e-011
-5.910000000000002e+000,-5.910000e+000,1.592000e-011
-5.900000000000002e+000,-5.900000e+000,1.591000e-011
-5.890000000000002e+000,-5.890000e+000,1.590000e-011
-5.880000000000003e+000,-5.880000e+000,1.589000e-011
-5.870000000000003e+000,-5.870000e+000,1.588000e-011
-5.860000000000003e+000,-5.860000e+000,1.587000e-011
-5.850000000000003e+000,-5.850000e+000,1.586000e-011
-5.840000000000003e+000,-5.840000e+000,1.585000e-011
-5.830000000000004e+000,-5.830000e+000,1.584000e-011
-5.820000000000004e+000,-5.820000e+000,1.583000e-011
-5.810000000000004e+000,-5.810000e+000,1.582000e-011
-5.800000000000004e+000,-5.800000e+000,1.581000e-011
-5.790000000000005e+000,-5.790000e+000,1.580000e-011
-5.780000000000005e+000,-5.780000e+000,1.579000e-011
-5.770000000000005e+000,-5.770000e+000,1.578000e-011
-5.760000000000005e+000,-5.760000e+000,1.577000e-011
-5.750000000000005e+000,-5.750000e+000,1.576000e-011
-5.740000000000006e+000,-5.740000e+000,1.575000e-011
-5.730000000000006e+000,-5.730000e+000,1.574000e-011
-5.720000000000006e+000,-5.720000e+000,1.573000e-011
-5.710000000000006e+000,-5.710000e+000,1.572000e-011
-5.700000000000006e+000,-5.700000e+000,1.571000e-011
-5.690000000000007e+000,-5.690000e+000,1.570000e-011
-5.680000000000007e+000,-5.680000e+000,1.569000e-011
-5.670000000000007e+000,-5.670000e+000,1.568000e-011
-5.660000000000007e+000,-5.660000e+000,1.567000e-011
-5.650000000000008e+000,-5.650000e+000,1.566000e-011
-5.640000000000008e+000,-5.640000e+000,1.565000e-011
-5.630000000000008e+000,-5.630000e+000,1.564000e-011
-5.620000000000008e+000,-5.620000e+000,1.563000e-011
-5.610000000000008e+000,-5.610000e+000,1.562000e-011
-5.600000000000009e+000,-5.600000e+000,1.561000e-011
-5.590000000000009e+000,-5.590000e+000,1.560000e-011
-5.580000000000009e+000,-5.580000e+000,1.559000e-011
-5.570000000000009e+000,-5.570000e+000,1.558000e-011
-5.560000000000009e+000,-5.560000e+000,1.557000e-011
-5.550000000000010e+000,-5.550000e+000,1.556000e-011
-5.540000000000010e+000,-5.540000e+000,1.555000e-011
-5.530000000000010e+000,-5.530000e+000,1.554000e-011
-5.520000000000010e+000,-5.520000e+000,1.553000e-011
-5.510000000000010e+000,-5.510000e+000,1.552000e-011
-5.500000000000011e+000,-5.500000e+000,1.551000e-011
-5.490000000000011e+000,-5.490000e+000,1.550000e-011
-5.480000000000011e+000,-5.480000e+000,1.549000e-011
-5.470000000000011e+000,-5.470000e+000,1.548000e-011
-5.460000000000012e+000,-5.460000e+000,1.547000e-011
-5.450000000000012e+000,-5.450000e+000,1.546000e-011
-5.440000000000012e+000,-5.440000e+000,1.545000e-011
-5.430000000000012e+000,-5.430000e+000,1.544000e-011
